OBJECTID,OFT_1,STREET_O_NAME_1,STREET_F_NAME_1,STREET_T_NAME_1,NETWORK,BRANCH,SECTION,PAVEMENT,BASE,CONST_YR,RENOVATION_YR,SEALCOAT_YR,SEALCOAT_COUNT,OVERLAY_YR,PCI,PCI_BRANCH_AVG,LENGTH,COMMENTS_1,COMMENTS_2,INSPECTION_DATE,REFNO_ALL
5372,3.40205E+11,XERXES AVE S,49TH ST W,48TH ST W,MSA,204,1,ASPH/CONC,UNKNOWN,1958,,,,2009,76,,662,,,2013-09-23T00:00:00.000Z,12432
5373,3.40205E+11,XERXES AVE S,46TH ST W,45TH ST W,MSA,204,1,ASPH/CONC,UNKNOWN,1958,,,,2009,76,,658,,,2013-09-23T00:00:00.000Z,12435
5374,3.40205E+11,XERXES AVE S,45TH ST W,44TH ST W,MSA,204,1,ASPH/CONC,UNKNOWN,1958,,,,2009,76,,660,,,2013-09-23T00:00:00.000Z,12436
5375,3.40204E+11,XERXES AVE S,43RD ST W,42ND ST W,MSA,204,2,ASPHALT,BIT.ST.SOIL,1968,,2014,1,2009,87,,650,,,2013-09-23T00:00:00.000Z,12438
5376,3.40204E+11,XERXES AVE S,42ND ST W,41ST ST W,MSA,204,2,ASPHALT,BIT.ST.SOIL,1968,,2014,1,2009,87,,661,,,2013-09-23T00:00:00.000Z,12439
5377,41404120422,41ST ST E,41ST AVE S,42ND AVE S,RES,2670,13,ASPHALT7,CLASS 2,1977,,,,2008,,91,330,,,2014-06-05T00:00:00.000Z,4707
5378,42205440534,42ND AVE S,54TH ST E,53RD ST E,MSA,259,2,ASPH/CONC,UNKNOWN,1956,,2004,2,,57,,661,,,2012-11-16T00:00:00.000Z,4769
5379,42202940284,42ND AVE S,29TH ST E,28TH ST E,RES,2789,6,ASPHALT7m,S.GRAN.MAT.,1980,,1994,2,,,63,660,,,2014-08-13T00:00:00.000Z,4792
5380,42429220232,42ND ST E,STANDISH AVE,23RD AVE S,CSAH,42,1,ASPH/CONC,UNKNOWN,1962,,,,2011,,,328,,,,4823
5381,42404520462,42ND ST E,45TH AVE S,46TH AVE S,MSA,261,1,ASPHALT9,UNKNOWN,1971,,2011,4,,79,,332,,,2013-09-19T00:00:00.000Z,4848
5382,42933063209,42ND ST W,WASHBURN AVE S,VINCENT AVE S,RES,2599,30,ASPHALT7,BIT.ST.SOIL,1968,,,,2012,,100,362,,,2012-11-01T00:00:00.000Z,4862
5383,36116062612,36TH AVE NE,FILLMORE ST NE,PIERCE ST NE,RES,2603,14,CONCRETE7,S.GRAN.MAT.,1968,,,,,,67,327,,,2011-07-20T00:00:00.000Z,3960
5384,36203640354,36TH AVE S,36TH ST E,35TH ST E,RES,2688,5,ASPHALT9,CLASS 2,1978,,1991,2,,,68,658,,,2012-10-11T00:00:00.000Z,3988
5385,36402320242,36TH ST E,23RD AVE S,24TH AVE S,MSA,251,8,ASPHALT,CRUSH.CONC,1983,,1994,2,,70,,440,,,2011-08-24T00:00:00.000Z,4029
5386,21203240314,21ST AVE S,32ND ST E,31ST ST E,MSA,326,1,ASPHALT7m,S.GRAN.MAT.,1977,,2010,1,,81,,661,,,2013-10-22T00:00:00.000Z,1994
5387,21202241612,21ST AVE S,22ND ST E,FRANKLIN AVE E,RES,2644,2,CONCRETE7,S.GRAN.MAT.,1966,,,,,,74,653,,,2014-06-09T00:00:00.000Z,1999
5388,0212DEDS0087,21ST AVE S,DEAD END (S),8TH ST S,PRIVAT,-,-,ASPHALT,UNKNOWN,,,,,,,,214,,,,2001
5389,21228150057,21ST AVE S,RIVERSIDE AVE,5TH ST S,UofM,-,1,ASPHALT,UNKNOWN,,,,,,,,231,,,,2005
5390,25401620172,25TH ST E,16TH AVE S,17TH AVE S,RES,2985,13,ASPHALT7m,S.GRAN.MAT.,1972,2003,2004,1,,,76,329,,,2014-06-26T00:00:00.000Z,2468
5391,25423230232,25TH ST E,MINNEHAHA AVE,23RD AVE S,MSA,238,1,CONCRETE,CLASS 5,1970,,,,,52,,358,,,2013-09-17T00:00:00.000Z,2470
5392,25402420252,25TH ST E,24TH AVE S,25TH AVE S,MSA,238,1,CONCRETE,CLASS 5,1970,,,,,52,,386,,,2013-09-17T00:00:00.000Z,2472
5393,25402620272,25TH ST E,26TH AVE S,27TH AVE S,MSA,238,1,CONCRETE,CLASS 5,1970,,,,,52,,411,,,2013-09-17T00:00:00.000Z,2474
5394,25402720282,25TH ST E,27TH AVE S,28TH AVE S,MSA,238,1,CONCRETE,CLASS 5,1970,,,,,52,,410,,,2013-09-17T00:00:00.000Z,2475
5395,3.60104E+11,ZENITH AVE S,42ND ST W,41ST ST W,RES,2599,18,ASPHALT7,CEM.ST.SOIL,1968,,,,2012,,100,658,,,2012-11-01T00:00:00.000Z,12483
